game_name,agent_name,episodes,turns
connect_four,llm_litellm_groq_llama3_70b_8192,3,4
connect_four,llm_litellm_groq_llama3_8b_8192,3,4
connect_four,llm_litellm_together_ai_meta_llama_Meta_Llama_3.1_70B_Instruct_Turbo,1,1
connect_four,llm_litellm_together_ai_meta_llama_Meta_Llama_3.1_8B_Instruct_Turbo,1,1
kuhn_poker,llm_litellm_groq_llama3_70b_8192,3,4
kuhn_poker,llm_litellm_groq_llama3_8b_8192,3,4
kuhn_poker,llm_litellm_together_ai_meta_llama_Meta_Llama_3.1_70B_Instruct_Turbo,1,1
kuhn_poker,llm_litellm_together_ai_meta_llama_Meta_Llama_3.1_8B_Instruct_Turbo,1,1
matching_pennies,llm_litellm_groq_llama3_70b_8192,3,4
matching_pennies,llm_litellm_groq_llama3_8b_8192,3,4
matching_pennies,llm_litellm_together_ai_meta_llama_Meta_Llama_3.1_70B_Instruct_Turbo,1,1
matching_pennies,llm_litellm_together_ai_meta_llama_Meta_Llama_3.1_8B_Instruct_Turbo,1,1
matrix_pd,llm_litellm_groq_llama3_70b_8192,3,4
matrix_pd,llm_litellm_groq_llama3_8b_8192,3,4
matrix_pd,llm_litellm_together_ai_meta_llama_Meta_Llama_3.1_70B_Instruct_Turbo,1,1
matrix_pd,llm_litellm_together_ai_meta_llama_Meta_Llama_3.1_8B_Instruct_Turbo,1,1
matrix_rps,llm_litellm_groq_llama3_70b_8192,3,3
matrix_rps,llm_litellm_groq_llama3_8b_8192,3,4
matrix_rps,llm_litellm_together_ai_meta_llama_Meta_Llama_3.1_70B_Instruct_Turbo,1,1
matrix_rps,llm_litellm_together_ai_meta_llama_Meta_Llama_3.1_8B_Instruct_Turbo,1,1
prisoners_dilemma,llm_litellm_groq_llama3_70b_8192,3,4
prisoners_dilemma,llm_litellm_groq_llama3_8b_8192,3,4
prisoners_dilemma,llm_litellm_together_ai_meta_llama_Meta_Llama_3.1_70B_Instruct_Turbo,1,1
prisoners_dilemma,llm_litellm_together_ai_meta_llama_Meta_Llama_3.1_8B_Instruct_Turbo,1,1
tic_tac_toe,llm_litellm_groq_llama3_70b_8192,3,4
tic_tac_toe,llm_litellm_groq_llama3_8b_8192,3,9
tic_tac_toe,llm_litellm_together_ai_meta_llama_Meta_Llama_3.1_70B_Instruct_Turbo,5,6
tic_tac_toe,llm_litellm_together_ai_meta_llama_Meta_Llama_3.1_8B_Instruct_Turbo,5,6
