Model,Connect Four,Hex,Kuhn Poker,Matching Pennies,Prisoner's Dilemma,Rock Paper Scissors,Tic Tac Toe
Llama-3-70b-8192,90.00,50.00,100.00,80.00,100.00,66.67,88.89
Llama-3-8b-8192,86.67,55.56,100.00,70.00,92.31,15.38,96.20
GPT-3.5-turbo,100.00,0.00,100.00,0.00,100.00,100.00,100.00
Qwen3-32b,100.00,100.00,100.00,0.00,100.00,0.00,100.00
Meta-Llama-3.1-70B-Instruct-Turbo,100.00,0.00,100.00,0.00,100.00,100.00,100.00
GPT-4-mini,80.00,0.00,100.00,80.00,100.00,20.00,100.00
GPT-4,85.71,0.00,100.00,80.00,100.00,28.57,85.71
Gemma2-9b-it,88.89,25.00,77.78,80.00,100.00,22.22,77.78
glm-4p5-air,37.50,0.00,75.00,100.00,100.00,25.00,100.00
qwen3-235b-a22b-thinking-2507,66.67,0.00,100.00,0.00,100.00,66.67,100.00
kimi-k2-instruct,100.00,0.00,100.00,0.00,100.00,33.33,100.00
GPT-4-turbo,100.00,0.00,100.00,0.00,100.00,0.00,100.00
llama-v3-8b-instruct,100.00,0.00,100.00,0.00,100.00,0.00,100.00
o4-mini,100.00,0.00,100.00,0.00,100.00,0.00,100.00
Meta-Llama-3.1-8B-Instruct-Turbo,100.00,0.00,100.00,0.00,100.00,0.00,100.00
llama-v3-70b-instruct,100.00,0.00,100.00,0.00,100.00,0.00,100.00
ai-mistralai-Mixtral-8x7B-Instruct-v0.1,80.00,0.00,80.00,60.00,100.00,10.00,50.00
Gemma-7b-it,0.00,0.00,0.00,0.00,0.00,0.00,100.00
llama-3.1-8b-instant,0.00,0.00,50.00,0.00,0.00,0.00,42.85
Qwen2-7B-Instruct,0.00,0.00,0.00,0.00,0.00,0.00,0.00
